,region,value1,value
1369,27109,13608,1
1370,27111,2728,2
1371,27113,14362,16
1372,27115,12606,41
1373,27117,751,23
1374,27119,14666,46
1375,27121,1922,44
1376,27123,9824,53
1377,27125,16633,53
1378,27127,18410,25
1379,27129,4450,13
1380,27131,1000,51
1381,27133,32,22
1382,27135,15786,19
1383,27137,14329,3
1384,27139,12072,1
1385,27141,13758,30
1386,27143,2457,49
1387,27145,16697,63
1388,27147,4916,10
1389,27149,13592,15
1390,27151,19429,7
1391,27153,4292,14
1392,27155,15299,23
1393,27157,17370,55
1394,27159,16954,25
1395,27161,8901,27
1396,27163,15909,3
1397,27165,599,5
1398,27167,14557,61
1399,27169,13319,6
1400,27171,13168,34
1401,27173,3951,11
1402,28001,1632,53
1403,28003,6506,61
1404,28005,2880,12
1405,28007,5001,42
1406,28009,15576,53
1407,28011,19314,1
1408,28013,2804,17
1409,28015,2535,23
1410,28017,4450,23
1411,28019,13522,56
1412,28021,17997,63
1413,28023,7033,46
1414,28025,515,21
1415,28027,5199,14
1416,28029,19288,44
1417,28031,14447,7
1418,28033,723,22
1419,28035,12225,9
1420,28037,328,46
1421,28039,12965,1
1422,28041,437,38
1423,28043,331,16
1424,28045,5570,17
1425,28047,11109,10
1426,28049,13902,2
1427,28051,12272,28
1428,28053,4952,45
1429,28055,17175,40
1430,28057,6942,10
1431,28059,18386,28
1432,28061,1661,44
1433,28063,753,3
1434,28065,2266,32
1435,28067,15161,16
1436,28069,19482,29
1437,28071,2673,39
1438,28073,10318,49
1439,28075,8042,47
1440,28077,10037,40
1441,28079,4009,50
1442,28081,4273,32
1443,28083,14514,16
1444,28085,18916,47
1445,28087,3844,16
1446,28089,3842,60
1447,28091,13445,18
1448,28093,16837,28
1449,28095,1203,13
1450,28097,15188,11
1451,28099,18602,5
1452,28101,952,60
1453,28103,7655,26
1454,28105,3101,46
1455,28107,17756,26
1456,28109,13043,10
1457,28111,13481,7
1458,28113,3330,7
1459,28115,2854,34
1460,28117,401,37
1461,28119,14937,24
1462,28121,8349,25
1463,28123,16680,19
1464,28125,5973,51
1465,28127,17830,54
1466,28129,18363,24
1467,28131,5244,53
1468,28133,12153,40
1469,28135,2489,23
1470,28137,15660,38
1471,28139,16328,14
1472,28141,16529,51
1473,28143,17484,27
1474,28145,5005,51
1475,28147,18114,24
1476,28149,1847,57
1477,28151,15248,20
1478,28153,18676,8
1479,28155,2744,18
1480,28157,14077,40
1481,28159,19649,63
1482,28161,3787,15
1483,28163,12426,2
1484,29001,11950,46
1485,29003,4663,8
1486,29005,11915,4
1487,29007,9046,35
1488,29009,7126,43
1489,29011,4087,55
1490,29013,18428,23
1491,29015,16649,5
1492,29017,13993,46
1493,29019,5557,50
1494,29021,19705,25
1495,29023,12367,16
1496,29025,2942,49
1497,29027,12236,40
1498,29029,3088,54
1499,29031,11294,17
1500,29033,5437,38
1501,29035,19626,57
1502,29037,6627,18
1503,29039,7366,8
1504,29041,10495,6
1505,29043,11263,46
1506,29045,13154,56
1507,29047,7598,34
1508,29049,19763,38
1509,29051,11847,45
1510,29053,13562,63
1511,29055,7654,32
1512,29057,10391,50
1513,29059,13956,3
1514,29061,3086,58
1515,29063,5303,42
1516,29065,3851,32
1517,29067,3103,38
1518,29069,15955,30
1519,29071,17332,23
1520,29073,9101,61
1521,29075,7477,4
1522,29077,8978,36
1523,29079,13164,28
1524,29081,1012,30
1525,29083,5969,39
1526,29085,2501,39
1527,29087,17274,27
1528,29089,14231,58
1529,29091,11146,39
1530,29093,5928,30
1531,29095,16421,58
1532,29097,8625,45
1533,29099,5418,43
1534,29101,7298,11
1535,29103,9321,17
1536,29105,11862,36
1537,29107,12232,34
1538,29109,14547,29
1539,29111,154,12
1540,29113,749,39
1541,29115,2085,21
1542,29117,18587,24
1543,29119,9271,30
1544,29121,13412,37
1545,29123,9391,50
1546,29125,1871,25
1547,29127,16831,36
1548,29129,19386,31
1549,29131,9927,10
1550,29133,11353,38
1551,29135,2903,45
1552,29137,7187,27
1553,29139,1571,62
1554,29141,5702,12
1555,29143,4584,14
1556,29145,14351,52
1557,29147,11832,15
1558,29149,4028,43
1559,29151,14056,24
1560,29153,19648,13
1561,29155,90,12
1562,29157,8112,25
1563,29159,17308,46
1564,29161,10597,7
1565,29163,13329,13
1566,29165,11000,0
1567,29167,13427,8
1568,29169,16618,29
1569,29171,447,5
1570,29173,16499,31
1571,29175,1722,6
1572,29177,2888,46
1573,29179,13619,47
1574,29181,17990,26
1575,29183,10573,52
1576,29185,16133,44
1577,29186,5442,46
1578,29187,19266,6
1579,29189,9216,40
1580,29195,1878,38
1581,29197,4721,40
1582,29199,12177,56
1583,29201,16818,35
1584,29203,14150,47
1585,29205,19946,33
1586,29207,6418,29
1587,29209,9349,47
1588,29211,6433,17
1589,29213,13212,58
1590,29215,4322,39
1591,29217,16204,23
1592,29219,16436,41
1593,29221,15383,35
1594,29223,1971,33
1595,29225,8136,48
1596,29227,17321,27
1597,29229,14886,53
1598,29510,4323,61
1599,30001,10925,47
1600,30003,4464,50
1601,30005,7618,25
1602,30007,14579,36
1603,30009,14139,18
1604,30011,18005,14
1605,30013,1423,44
1606,30015,11743,50
1607,30017,15692,27
1608,30019,8099,51
1609,30021,8364,27
1610,30023,4047,14
1611,30025,13442,1
1612,30027,16998,25
1613,30029,7088,4
1614,30031,18555,0
1615,30033,14636,16
1616,30035,5636,55
1617,30037,10600,57
1618,30039,12705,1
1619,30041,12453,25
1620,30043,15316,27
1621,30045,5882,37
1622,30047,16572,53
1623,30049,574,2
1624,30051,14258,22
1625,30053,8023,48
1626,30055,643,45
1627,30057,1736,30
1628,30059,12897,31
1629,30061,7522,8
1630,30063,3836,7
1631,30065,14749,49
1632,30067,16233,16
1633,30069,10015,51
1634,30071,11737,11
1635,30073,14608,40
1636,30075,3331,6
1637,30077,15203,56
1638,30079,7668,34
1639,30081,11701,57
1640,30083,4178,28
1641,30085,9861,37
1642,30087,6686,58
1643,30089,14783,53
1644,30091,10705,55
1645,30093,16196,7
1646,30095,14165,46
1647,30097,11658,61
1648,30099,18582,53
1649,30101,15361,19
1650,30103,7589,21
1651,30105,10821,56
1652,30107,774,51
1653,30109,9335,52
1654,30111,10424,10
1655,31001,3007,39
1656,31003,12828,29
1657,31005,14080,36
1658,31007,1532,2
1659,31009,4621,15
1660,31011,19005,42
1661,31013,11577,48
1662,31015,11739,8
1663,31017,13990,20
1664,31019,8955,21
1665,31021,15164,56
1666,31023,17112,3
1667,31025,11597,21
1668,31027,7504,50
1669,31029,7442,4
1670,31031,4199,40
1671,31033,812,11
1672,31035,1963,7
1673,31037,2732,49
1674,31039,16743,26
1675,31041,10455,30
1676,31043,19246,4
1677,31045,5696,49
1678,31047,4269,44
1679,31049,8675,11
1680,31051,11849,39
1681,31053,12457,17
1682,31055,9929,58
1683,31057,13475,41
1684,31059,13519,6
1685,31061,2449,5
1686,31063,3886,57
1687,31065,13766,45
1688,31067,2112,4
1689,31069,8711,11
1690,31071,2604,1
1691,31073,9698,19
1692,31075,12692,18
1693,31077,9048,43
1694,31079,1337,60
1695,31081,11414,58
1696,31083,5875,59
1697,31085,10027,36
1698,31087,16722,34
1699,31089,1409,17
1700,31091,19230,20
1701,31093,4818,40
1702,31095,14862,49
1703,31097,16398,45
1704,31099,18882,40
1705,31101,8240,30
1706,31103,8946,49
1707,31105,10870,6
1708,31107,5300,29
1709,31109,2434,52
1710,31111,9220,40
1711,31113,17042,30
1712,31115,8186,9
1713,31117,541,63
1714,31119,5140,18
1715,31121,14320,41
1716,31123,11207,35
1717,31125,1595,55
1718,31127,8446,62
1719,31129,17986,54
1720,31131,14258,63
1721,31133,16318,3
1722,31135,14756,37
1723,31137,10584,47
1724,31139,9336,31
1725,31141,18347,9
1726,31143,13976,9
1727,31145,8896,41
1728,31147,7582,26
1729,31149,15968,21
1730,31151,18971,49
1731,31153,16575,3
1732,31155,11021,41
1733,31157,8750,9
1734,31159,16882,46
1735,31161,155,57
1736,31163,7948,34
1737,31165,3345,6
1738,31167,15495,54
1739,31169,13657,48
1740,31171,12788,29
1741,31173,1225,50
1742,31175,4616,30
1743,31177,12474,60
1744,31179,8053,37
1745,31181,3677,34
1746,31183,12136,48
1747,31185,12676,54
1748,32001,953,33
1749,32003,17234,47
1750,32005,9417,13
1751,32007,16723,53
1752,32009,14503,5
1753,32011,15231,52
1754,32013,9848,35
1755,32015,11855,59
1756,32017,8427,5
1757,32019,14602,21
1758,32021,8712,47
1759,32023,6954,51
1760,32027,10952,63
1761,32029,7372,23
1762,32031,16311,38
1763,32033,643,42
1764,32510,12904,21
1765,33001,5091,37
1766,33003,7955,59
1767,33005,16414,15
1768,33007,1322,45
1769,33009,10183,31
1770,33011,18777,14
1771,33013,7087,56
1772,33015,5598,21
1773,33017,3688,43
1774,33019,7077,41
1775,34001,9657,2
1776,34003,12134,24
1777,34005,14289,25
1778,34007,1795,28
1779,34009,1859,40
1780,34011,6769,61
1781,34013,17220,33
1782,34015,15083,21
1783,34017,17517,39
1784,34019,4664,31
1785,34021,11704,33
1786,34023,11581,51
1787,34025,11022,38
1788,34027,10067,54
1789,34029,11999,38
1790,34031,10170,12
1791,34033,10419,63
1792,34035,10464,4
1793,34037,9849,45
1794,34039,17263,26
1795,34041,15601,28
1796,35001,3490,33
1797,35003,18383,18
1798,35005,15492,40
1799,35006,12409,47
1800,35007,101,49
1801,35009,3831,31
1802,35011,9372,41
1803,35013,7010,50
1804,35015,1145,7
1805,35017,5373,39
1806,35019,13873,42
1807,35021,18154,2
1808,35023,13793,26
1809,35025,7268,38
1810,35027,13433,28
1811,35028,9364,10
1812,35029,80,50
1813,35031,692,6
1814,35033,18041,60
1815,35035,15545,1
1816,35037,7614,24
1817,35039,2533,46
1818,35041,2481,43
1819,35043,14054,61
1820,35045,579,58
1821,35047,533,51
1822,35049,17027,2
1823,35051,2714,61
1824,35053,16826,8
1825,35055,6458,8
1826,35057,17440,55
1827,35059,3507,42
1828,35061,11736,26
1829,36001,10050,31
1830,36003,6528,51
1831,36005,2056,46
1832,36007,17183,57
1833,36009,9942,12
1834,36011,3347,16
1835,36013,18831,34
1836,36015,12959,61
1837,36017,8975,61
1838,36019,5347,62
1839,36021,15790,3
1840,36023,14431,60
1841,36025,3204,22
1842,36027,11695,44
1843,36029,11610,11
1844,36031,7153,60
1845,36033,6698,21
1846,36035,4812,42
1847,36037,12213,43
1848,36039,6566,17
1849,36041,15507,27
1850,36043,2676,41
1851,36045,10291,35
1852,36047,548,9
1853,36049,6432,58
1854,36051,19194,38
1855,36053,7718,13
1856,36055,8772,22
1857,36057,3506,32
1858,36059,3509,36
1859,36061,12230,37
1860,36063,8685,42
1861,36065,5482,0
1862,36067,9251,26
1863,36069,7190,49
1864,36071,14552,20
1865,36073,11577,5
1866,36075,4841,43
1867,36077,1972,23
1868,36079,1064,60
1869,36081,303,8
1870,36083,18965,6
1871,36085,1301,29
1872,36087,6423,63
1873,36089,6105,40
1874,36091,13463,31
1875,36093,10135,51
1876,36095,17694,41
1877,36097,19262,61
1878,36099,15553,4
1879,36101,4844,8
1880,36103,19480,10
1881,36105,5176,20
1882,36107,18734,33
1883,36109,14503,49
1884,36111,8511,0
1885,36113,16441,15
1886,36115,3108,39
1887,36117,3174,20
1888,36119,18104,37
1889,36121,3806,15
1890,36123,9842,62
1891,37001,4755,15
1892,37003,13967,30
1893,37005,4490,18
1894,37007,7224,1
1895,37009,17156,62
1896,37011,12822,20
1897,37013,6569,9
1898,37015,13445,26
1899,37017,3316,5
1900,37019,3910,14
1901,37021,286,32
1902,37023,16750,44
1903,37025,12990,47
1904,37027,563,17
1905,37029,11710,22
1906,37031,5711,29
1907,37033,2026,14
1908,37035,8110,9
1909,37037,12632,12
1910,37039,9249,32
1911,37041,17311,7
1912,37043,3839,56
1913,37045,3177,52
1914,37047,17717,56
1915,37049,2234,50
1916,37051,17982,28
1917,37053,118,3
1918,37055,6064,2
1919,37057,6341,49
1920,37059,5544,48
1921,37061,19391,14
1922,37063,19790,30
1923,37065,54,32
1924,37067,4011,22
1925,37069,8052,61
1926,37071,14604,7
1927,37073,10450,46
1928,37075,19276,2
1929,37077,2885,55
1930,37079,11863,27
1931,37081,6640,35
1932,37083,5671,50
1933,37085,10677,3
1934,37087,19658,6
1935,37089,16513,3
1936,37091,18186,14
1937,37093,8940,62
1938,37095,13242,25
1939,37097,12752,27
1940,37099,17858,28
1941,37101,980,10
1942,37103,8804,57
1943,37105,15222,31
1944,37107,10307,35
1945,37109,2915,8
1946,37111,858,50
1947,37113,4535,60
1948,37115,2403,54
1949,37117,16560,4
1950,37119,1339,17
1951,37121,18756,4
1952,37123,2888,56
1953,37125,13857,8
1954,37127,17931,52
1955,37129,11,6
1956,37131,10675,38
1957,37133,13643,0
1958,37135,4510,0
1959,37137,377,58
1960,37139,633,30
1961,37141,1008,19
1962,37143,1685,50
1963,37145,11335,0
1964,37147,2575,23
1965,37149,10973,56
1966,37151,17289,60
1967,37153,8832,47
1968,37155,6061,42
1969,37157,19766,20
1970,37159,1208,21
1971,37161,11981,21
1972,37163,18569,21
1973,37165,17551,37
1974,37167,7805,12
1975,37169,13295,45
1976,37171,7744,55
1977,37173,18195,18
1978,37175,1856,46
1979,37177,13783,12
1980,37179,8233,61
1981,37181,2575,47
1982,37183,2723,18
1983,37185,14235,22
1984,37187,14760,13
1985,37189,15985,9
1986,37191,11404,30
1987,37193,6366,2
1988,37195,11533,12
1989,37197,14925,30
1990,37199,10041,62
1991,38001,4049,35
1992,38003,3226,14
1993,38005,7396,34
1994,38007,2276,35
1995,38009,7281,39
1996,38011,4304,60
1997,38013,11348,38
1998,38015,4287,11
1999,38017,8259,20
2000,38019,15106,27
2001,38021,4809,24
2002,38023,4399,38
2003,38025,9737,52
2004,38027,15101,61
2005,38029,6436,48
2006,38031,6787,48
2007,38033,13293,47
2008,38035,12336,22
2009,38037,9215,56
2010,38039,18123,56
2011,38041,1273,34
2012,38043,18135,40
2013,38045,17196,51
2014,38047,16131,3
2015,38049,12871,8
2016,38051,11096,57
2017,38053,16278,63
2018,38055,15197,25
2019,38057,2014,59
2020,38059,19769,46
2021,38061,3955,20
2022,38063,19954,33
2023,38065,13083,52
2024,38067,12030,38
2025,38069,1439,34
2026,38071,11294,21
2027,38073,14371,20
2028,38075,13931,28
2029,38077,11344,43
2030,38079,2086,13
2031,38081,13493,14
2032,38083,8025,11
2033,38085,18021,47
2034,38087,10997,62
2035,38089,16184,32
2036,38091,15478,47
2037,38093,10259,19
2038,38095,347,46
2039,38097,4953,21
2040,38099,18854,20
2041,38101,5643,39
2042,38103,18351,48
2043,38105,15965,34
2044,39001,1913,15
2045,39003,2405,49
2046,39005,811,59
2047,39007,17819,12
2048,39009,14803,22
2049,39011,18247,35
2050,39013,10622,46
2051,39015,11838,17
2052,39017,1565,40
2053,39019,3768,34
2054,39021,320,51
2055,39023,6802,23
2056,39025,16326,0
2057,39027,1589,19
2058,39029,12153,28
2059,39031,15439,42
2060,39033,3685,49
2061,39035,10351,52
2062,39037,9407,10
2063,39039,441,24
2064,39041,18501,3
2065,39043,12544,39
2066,39045,16157,31
2067,39047,10163,38
2068,39049,8986,6
2069,39051,8683,43
2070,39053,18031,50
2071,39055,18008,38
2072,39057,5905,55
2073,39059,16509,43
2074,39061,11951,60
2075,39063,14864,48
2076,39065,17667,37
2077,39067,15115,4
2078,39069,135,10
2079,39071,18455,30
2080,39073,14507,43
2081,39075,15849,51
2082,39077,17466,11
2083,39079,15317,41
2084,39081,18268,57
2085,39083,6340,34
2086,39085,7111,40
2087,39087,3747,6
2088,39089,9441,37
2089,39091,19850,10
2090,39093,6912,56
2091,39095,10569,30
2092,39097,12474,18
2093,39099,8257,4
2094,39101,11265,42
2095,39103,19719,44
2096,39105,16612,17
2097,39107,19603,47
2098,39109,6517,12
2099,39111,3220,18
2100,39113,10689,25
2101,39115,6967,41
2102,39117,15172,6
2103,39119,14603,55
2104,39121,15122,50
2105,39123,12579,54
2106,39125,3248,26
2107,39127,8279,6
2108,39129,2233,44
2109,39131,17331,56
2110,39133,19420,56
2111,39135,16857,9
2112,39137,11775,22
2113,39139,17867,42
2114,39141,15290,51
2115,39143,6911,36
2116,39145,12860,36
2117,39147,5540,1
2118,39149,19697,41
2119,39151,18166,41
2120,39153,13074,57
2121,39155,15970,28
2122,39157,3360,36
2123,39159,1790,29
2124,39161,19860,26
2125,39163,3622,18
2126,39165,3551,9
2127,39167,5302,51
2128,39169,6934,55
2129,39171,16512,43
2130,39173,3346,38
2131,39175,13954,4
2132,40001,1870,46
2133,40003,423,50
2134,40005,4334,48
2135,40007,8455,31
2136,40009,3817,7
2137,40011,13682,1
2138,40013,5032,40
2139,40015,484,0
2140,40017,74,57
2141,40019,14798,48
2142,40021,6685,4
2143,40023,6031,24
2144,40025,17515,43
2145,40027,10609,56
2146,40029,771,48
2147,40031,17279,9
2148,40033,6076,13
2149,40035,415,38
2150,40037,11925,41
2151,40039,178,46
2152,40041,17067,19
2153,40043,19655,0
2154,40045,13347,54
2155,40047,10951,7
2156,40049,7496,41
2157,40051,8271,21
2158,40053,12915,5
2159,40055,2680,45
2160,40057,19363,8
2161,40059,515,51
2162,40061,13956,57
2163,40063,16175,11
2164,40065,16126,35
2165,40067,16705,35
2166,40069,16641,46
2167,40071,8795,19
2168,40073,11753,18
2169,40075,5566,14
2170,40077,5747,53
2171,40079,5463,11
2172,40081,3321,44
2173,40083,2456,13
2174,40085,12012,2
2175,40087,14501,46
2176,40089,7603,33
2177,40091,737,59
2178,40093,11835,50
2179,40095,12950,10
2180,40097,5468,60
2181,40099,4347,54
2182,40101,10162,41
2183,40103,10435,50
2184,40105,15175,62
2185,40107,15513,25
2186,40109,2168,41
2187,40111,16423,55
2188,40113,739,50
2189,40115,11849,17
2190,40117,10353,37
2191,40119,1422,34
2192,40121,1660,56
2193,40123,10463,46
2194,40125,1097,40
2195,40127,4803,23
2196,40129,4608,47
2197,40131,18568,27
2198,40133,13282,30
2199,40135,11932,51
2200,40137,15813,58
2201,40139,8014,14
2202,40141,13561,18
2203,40143,19628,27
2204,40145,8518,15
2205,40147,10197,49
2206,40149,4570,8
2207,40151,4882,61
2208,40153,3485,43
2209,41001,13605,53
2210,41003,15283,22
2211,41005,19482,62
2212,41007,7265,42
2213,41009,8662,22
2214,41011,5239,14
2215,41013,16088,17
2216,41015,7191,20
2217,41017,1293,63
2218,41019,11327,7
2219,41021,9196,63
2220,41023,14533,37
2221,41025,7458,37
2222,41027,6109,26
2223,41029,8227,7
2224,41031,1768,16
2225,41033,4734,15
2226,41035,1728,53
2227,41037,6290,20
2228,41039,19488,29
2229,41041,17048,3
2230,41043,19421,47
2231,41045,15700,61
2232,41047,19378,27
2233,41049,12296,5
2234,41051,9981,21
2235,41053,15698,48
2236,41055,19609,12
2237,41057,15199,52
2238,41059,756,6
2239,41061,1423,18
2240,41063,7673,36
2241,41065,14153,16
2242,41067,842,2
2243,41069,4851,4
2244,41071,8955,52
2245,42001,13733,46
2246,42003,6626,35
2247,42005,14415,36
2248,42007,8363,55
2249,42009,3510,18
2250,42011,16940,54
2251,42013,5530,2
2252,42015,18903,33
2253,42017,6040,16
2254,42019,16485,15
2255,42021,6970,48
2256,42023,9646,1
2257,42025,10434,17
2258,42027,3016,33
2259,42029,19965,18
2260,42031,14099,4
2261,42033,5755,47
2262,42035,17062,44
2263,42037,16486,17
2264,42039,917,19
2265,42041,5759,42
2266,42043,12685,37
2267,42045,14364,47
2268,42047,2798,35
2269,42049,10100,14
2270,42051,18388,12
2271,42053,422,6
2272,42055,16191,63
2273,42057,3862,55
2274,42059,5931,2
2275,42061,11214,61
2276,42063,10699,22
2277,42065,4640,41
2278,42067,15610,33
2279,42069,11922,44
2280,42071,3624,53
2281,42073,15048,29
2282,42075,13990,41
2283,42077,936,33
2284,42079,847,27
2285,42081,9564,0
2286,42083,2089,24
2287,42085,402,30
2288,42087,7416,33
2289,42089,10734,32
2290,42091,12528,13
2291,42093,19325,26
2292,42095,6023,41
2293,42097,7362,24
2294,42099,6545,46
2295,42101,16477,41
2296,42103,4324,22
2297,42105,2937,56
2298,42107,1873,51
2299,42109,8640,3
2300,42111,15818,27
2301,42113,13664,57
2302,42115,12585,32
2303,42117,5670,62
2304,42119,9119,52
2305,42121,1344,4
2306,42123,797,32
2307,42125,10698,50
2308,42127,9435,4
2309,42129,5935,42
2310,42131,18345,21
2311,42133,8759,51
2312,44001,13725,35
2313,44003,3531,42
2314,44005,484,22
2315,44007,10266,20
2316,44009,2193,62
2317,45001,8780,36
2318,45003,2451,6
2319,45005,14301,55
2320,45007,9010,14
2321,45009,12196,3
2322,45011,10478,16
2323,45013,4002,17
2324,45015,18038,10
2325,45017,13823,4
2326,45019,15511,35
2327,45021,11724,37
2328,45023,19883,58
2329,45025,18749,38
2330,45027,18418,6
2331,45029,14017,47
2332,45031,2980,40
2333,45033,970,43
2334,45035,12555,60
2335,45037,9223,37
2336,45039,17117,55
2337,45041,16364,41
2338,45043,7694,20
2339,45045,7974,27
2340,45047,15565,7
2341,45049,19373,3
2342,45051,6996,39
2343,45053,6612,45
2344,45055,4988,25
2345,45057,13052,45
2346,45059,9050,60
2347,45061,12344,17
2348,45063,13119,12
2349,45065,12563,7
2350,45067,11902,18
2351,45069,1616,58
2352,45071,12033,57
2353,45073,10527,32
2354,45075,17793,5
2355,45077,3185,31
2356,45079,2936,38
2357,45081,14241,7
2358,45083,17139,46
2359,45085,19937,48
2360,45087,0,15
2361,45089,18563,17
2362,45091,3993,0
2363,46003,6127,9
2364,46005,2920,14
2365,46007,2124,2
2366,46009,17073,45
2367,46011,16521,46
2368,46013,15225,13
2369,46015,3685,39
2370,46017,4962,5
2371,46019,8746,60
2372,46021,8720,60
2373,46023,16392,36
2374,46025,5610,14
2375,46027,6334,51
2376,46029,14995,20
2377,46031,12483,40
2378,46033,19739,4
2379,46035,191,30
2380,46037,5765,16
2381,46039,18459,49
2382,46041,17676,34
2383,46043,2346,58
2384,46045,1546,29
2385,46047,172,51
2386,46049,15314,46
2387,46051,17552,43
2388,46053,5452,28
2389,46055,16257,48
2390,46057,9587,1
2391,46059,1247,5
2392,46061,13375,0
2393,46063,16203,58
2394,46065,6255,39
2395,46067,5739,16
2396,46069,17848,63
2397,46071,6078,38
2398,46073,14173,14
2399,46075,14831,57
2400,46077,18206,21
2401,46079,18229,14
2402,46081,10884,51
2403,46083,11986,7
2404,46085,9511,34
2405,46087,8086,54
2406,46089,8762,34
2407,46091,6296,57
2408,46093,10912,6
2409,46095,19666,42
2410,46097,3990,59
2411,46099,14106,6
2412,46101,11665,20
2413,46103,11493,26
2414,46105,3118,41
2415,46107,2783,21
2416,46109,3224,46
2417,46111,861,27
2418,46113,17494,46
2419,46115,18824,56
2420,46117,8855,16
2421,46119,16968,16
2422,46121,14625,10
2423,46123,8318,38
2424,46125,16000,30
2425,46127,2132,21
2426,46129,5726,52
2427,46135,15233,28
2428,46137,7142,45
2429,47001,13969,34
2430,47003,19269,41
2431,47005,9328,54
2432,47007,3163,6
2433,47009,15574,9
2434,47011,3018,58
2435,47013,3054,14
2436,47015,15216,2
2437,47017,13976,30
2438,47019,3852,63
2439,47021,14316,62
2440,47023,9182,0
2441,47025,3420,30
2442,47027,13452,27
2443,47029,1111,56
2444,47031,5278,14
2445,47033,14681,57
2446,47035,11256,40
2447,47037,3073,16
2448,47039,15408,5
2449,47041,14411,56
2450,47043,12619,13
2451,47045,2991,44
2452,47047,19787,50
2453,47049,10025,52
2454,47051,7717,42
2455,47053,22,63
2456,47055,5848,1
2457,47057,3823,17
2458,47059,15870,19
2459,47061,8431,52
2460,47063,19353,40
2461,47065,7620,18
2462,47067,17271,48
2463,47069,16997,28
2464,47071,5197,5
2465,47073,1781,43
2466,47075,360,45
2467,47077,17704,39
2468,47079,3885,22
2469,47081,8079,21
2470,47083,7655,27
2471,47085,14589,36
2472,47087,19359,43
2473,47089,2936,53
2474,47091,14423,39
2475,47093,8858,19
2476,47095,17248,59
2477,47097,584,45
2478,47099,10277,63
2479,47101,19071,0
2480,47103,15971,8
2481,47105,8587,28
2482,47107,145,15
2483,47109,11434,18
2484,47111,778,34
2485,47113,19121,46
2486,47115,12247,30
2487,47117,8221,8
2488,47119,13891,28
2489,47121,14995,48
2490,47123,18403,14
2491,47125,17401,41
2492,47127,9002,30
2493,47129,7937,11
2494,47131,652,21
2495,47133,17702,53
2496,47135,3732,5
2497,47137,9969,59
2498,47139,11619,49
2499,47141,1776,50
2500,47143,12780,40
2501,47145,14300,13
2502,47147,1961,10
2503,47149,17208,35
2504,47151,3234,25
2505,47153,7756,28
2506,47155,671,55
2507,47157,6298,23
2508,47159,15688,21
2509,47161,12251,28
2510,47163,10929,48
2511,47165,10000,22
2512,47167,1702,25
2513,47169,16997,51
2514,47171,2490,49
2515,47173,11584,44
2516,47175,4440,10
2517,47177,8443,8
2518,47179,9000,45
2519,47181,7778,61
2520,47183,5964,12
2521,47185,17427,9
2522,47187,14741,12
2523,47189,9363,41
2524,48001,8239,54
2525,48003,18024,3
2526,48005,1423,18
2527,48007,5173,55
2528,48009,9764,15
2529,48011,12490,16
2530,48013,17678,26
2531,48015,10182,47
2532,48017,14978,63
2533,48019,17154,19
2534,48021,6856,43
2535,48023,3575,61
2536,48025,7878,56
2537,48027,11039,23
2538,48029,9217,35
2539,48031,19302,21
2540,48033,3607,60
2541,48035,10302,1
2542,48037,2508,18
2543,48039,19272,50
2544,48041,13219,3
2545,48043,9492,18
2546,48045,17702,31
2547,48047,14329,14
2548,48049,11778,23
2549,48051,18907,28
2550,48053,8192,19
2551,48055,7762,52
2552,48057,19018,33
2553,48059,7189,34
2554,48061,2300,22
2555,48063,11541,57
2556,48065,3994,46
2557,48067,17158,59
2558,48069,5604,63
2559,48071,651,57
2560,48073,15528,10
2561,48075,9300,26
2562,48077,15889,7
2563,48079,9894,20
2564,48081,16769,2
2565,48083,7422,9
2566,48085,15919,55
2567,48087,3080,23
2568,48089,10924,51
2569,48091,12679,39
2570,48093,18222,50
2571,48095,13355,16
2572,48097,15396,27
2573,48099,12431,56
2574,48101,14262,12
2575,48103,11015,18
2576,48105,266,39
2577,48107,8206,48
2578,48109,4056,55
2579,48111,18467,51
2580,48113,11063,13
2581,48115,5330,34
2582,48117,14999,43
2583,48119,6143,3
2584,48121,19144,33
2585,48123,2121,36
2586,48125,9845,18
2587,48127,6861,8
2588,48129,7929,54
2589,48131,9194,33
2590,48133,8682,29
2591,48135,2830,15
2592,48137,9276,58
2593,48139,18107,23
2594,48141,14667,32
2595,48143,5035,59
2596,48145,5464,60
2597,48147,4277,50
2598,48149,16716,39
2599,48151,811,46
2600,48153,2148,18
2601,48155,18213,0
2602,48157,12880,1
2603,48159,13645,8
2604,48161,12518,36
2605,48163,10264,17
2606,48165,3726,0
2607,48167,6495,11
2608,48169,19279,55
2609,48171,10231,62
2610,48173,14176,6
2611,48175,17740,58
2612,48177,12647,43
2613,48179,15514,0
2614,48181,651,31
2615,48183,5604,29
2616,48185,16896,29
2617,48187,4160,51
2618,48189,19805,43
2619,48191,4702,37
2620,48193,9312,28
2621,48195,11285,44
2622,48197,5185,60
2623,48199,19976,47
2624,48201,10098,57
2625,48203,13195,58
2626,48205,10994,39
2627,48207,15060,51
2628,48209,14144,41
2629,48211,3626,46
2630,48213,4205,8
2631,48215,5970,46
2632,48217,2785,7
2633,48219,17195,44
2634,48221,7860,3
2635,48223,19314,54
2636,48225,19860,13
2637,48227,2542,46
2638,48229,8098,49
2639,48231,16198,38
2640,48233,15263,33
2641,48235,2954,34
2642,48237,8590,37
2643,48239,3071,40
2644,48241,8390,31
2645,48243,18429,57
2646,48245,9560,51
2647,48247,14935,28
