city,state,country,lat,long,cnt,statename,year,,,code,statetemp
Medford,OR,USA,42.37422778,-122.8734978,404,Oregon,2013,,,,
Peoria,IL,USA,40.66424333,-89.69330556,404,Illinois,2013,,,,
Laredo,TX,USA,27.54373861,-99.46154361,396,Texas,2013,,,,
Bristol,TN,USA,36.47521417,-82.40742056,347,Tennessee,2012,,,,
Killeen,TX,USA,31.06489778,-97.82779778,346,Texas,2012,,,,
Charleston,SC,USA,32.89864639,-80.04050583,338,South Carolina,2012,,,,
Green Bay,WI,USA,44.48507333,-88.12959,333,Wisconsin,2012,,,,
Redmond,OR,USA,44.25406722,-121.1499633,328,Oregon,2012,,,,
Columbus,GA,USA,32.51633333,-84.93886111,324,Georgia,2012,,,,
South Bend,IN,USA,41.70895361,-86.31847417,324,Indiana,2012,,,,
Boise,ID,USA,43.56444444,-116.2227778,319,Idaho,2012,,,,
Myrtle Beach,SC,USA,33.67975,-78.92833333,314,South Carolina,2012,,,,
Minot,ND,USA,48.25937778,-101.2803339,310,North Dakota,2012,,,,
Champaign/Urbana,IL,USA,40.03925,-88.27805556,306,Illinois,2012,,,,
Roanoke,VA,USA,37.32546833,-79.97542833,301,Virginia,2012,,,,
Eagle,CO,USA,39.64256778,-106.9176953,296,Colorado,2012,,,,
Jackson,WY,USA,43.60732417,-110.7377389,295,Wyoming,2012,,,,
Bozeman,MT,USA,45.77690139,-111.1530072,288,Montana,2012,,,,
Grand Junction,CO,USA,39.1224125,-108.5267347,285,Colorado,2012,,,,
Burbank,CA,USA,34.20061917,-118.3584969,280, California,2012,,,,
Evansville,IN,USA,38.03799139,-87.53062667,270,Indiana,2012,,,,
Gunnison,CO,USA,38.53396333,-106.9331817,270,Colorado,2012,,,,
Idaho Falls,ID,USA,43.51455556,-112.0701667,264,Idaho,2012,,,,
Fresno,CA,USA,36.77619444,-119.7181389,264, California,2012,,,,
Springfield,IL,USA,39.84395194,-89.67761861,258,Illinois,2012,,,,
McAllen,TX,USA,26.17583333,-98.23861111,248,Texas,2012,,,,
Redding,CA,USA,40.50898361,-122.2934019,248, California,2012,,,,
Grand Forks,ND,USA,47.949255,-97.17611111,246,North Dakota,2012,,,,
Sioux Falls,SD,USA,43.58135111,-96.74170028,245,South Dakota,2012,,,,
Twin Falls,ID,USA,42.48180389,-114.4877356,225,Idaho,2012,,,,
Santa Maria,CA,USA,34.89924833,-120.4575825,216, California,2012,,,,
Pocatello,ID,USA,42.91130556,-112.5958611,216,Idaho,2012,,,,
Dothan,AL,USA,31.32133917,-85.44962889,214,Alabama,2012,,,,
Jacksonville,NC,USA,34.82916444,-77.61213778,212,North Carolina,2012,,,,
Montrose,CO,USA,38.50886722,-107.8938333,210,Colorado,2012,,,,
Bismarck,ND,USA,46.77411111,-100.7467222,208,North Dakota,2012,,,,
Casper,WY,USA,42.90835556,-106.4644661,208,Wyoming,2012,,,,
Traverse City,MI,USA,44.74144472,-85.582235,201,Michigan,2012,,,,
Monroe,LA,USA,32.51086556,-92.03768778,199,Louisiana,2012,,,,
Pasco,WA,USA,46.26468028,-119.1190292,168,Washington,2012,,,,
Manhattan,KS,USA,39.14096722,-96.67083278,168,Kansas,2012,,,,
Alexandria,LA,USA,31.32737167,-92.54855611,168,Louisiana,2012,,,,
North Bend,OR,USA,43.41713889,-124.2460278,168,Oregon,2012,,,,
Santa Fe,NM,USA,35.61677778,-106.0881389,168,New Mexico,2012,,,,
Klamath Falls,OR,USA,42.15614361,-121.7332081,168,Oregon,2012,,,,
Newburgh,NY,USA,41.50409361,-74.10483833,159,New York,2012,,,,
Charlottesville,VA,USA,38.13863889,-78.45286111,158,Virginia,2012,,,,
Valdosta,GA,USA,30.7825,-83.27672222,158,Georgia,2012,,,,
Mosinee,WI,USA,44.77761917,-89.66677944,156,Wisconsin,2012,,,,
Inyokern,CA,USA,35.65884306,-117.8295122,146, California,2012,,,,
Arcata/Eureka,CA,USA,40.97811528,-124.1086189,144, California,2012,,,,
Brunswick,GA,USA,31.25902778,-81.46630556,140,Georgia,2012,,,,
Lincoln,NE,USA,40.85097222,-96.75925,127,Nebraska,2012,,,,
Fort Wayne,IN,USA,40.97846583,-85.19514639,114,Indiana,2012,,,,
Cody,WY,USA,44.52019417,-109.0237961,112,Wyoming,2012,,,,
Paducah,KY,USA,37.06083333,-88.77375,112,Kentucky,2012,,,,
San Luis Obispo,CA,USA,35.23705806,-120.6423931,112, California,2012,,,,
Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675,112,Pennsylvania,2012,,,,
Monroe,LA,USA,32.51086556,-92.03768778,199,Louisiana,2011,,,,
Pasco,WA,USA,46.26468028,-119.1190292,168,Washington,2011,,,,
Manhattan,KS,USA,39.14096722,-96.67083278,168,Kansas,2011,,,,
Alexandria,LA,USA,31.32737167,-92.54855611,168,Louisiana,2011,,,,
North Bend,OR,USA,43.41713889,-124.2460278,168,Oregon,2011,,,,
Santa Fe,NM,USA,35.61677778,-106.0881389,168,New Mexico,2011,,,,
Klamath Falls,OR,USA,42.15614361,-121.7332081,168,Oregon,2011,,,,
Newburgh,NY,USA,41.50409361,-74.10483833,159,New York,2011,,,,
Charlottesville,VA,USA,38.13863889,-78.45286111,158,Virginia,2011,,,,
Valdosta,GA,USA,30.7825,-83.27672222,158,Georgia,2011,,,,
Mosinee,WI,USA,44.77761917,-89.66677944,156,Wisconsin,2011,,,,
Inyokern,CA,USA,35.65884306,-117.8295122,146, California,2011,,,,
Arcata/Eureka,CA,USA,40.97811528,-124.1086189,144, California,2011,,,,
Brunswick,GA,USA,31.25902778,-81.46630556,140,Georgia,2011,,,,
Lincoln,NE,USA,40.85097222,-96.75925,127,Nebraska,2011,,,,
Fort Wayne,IN,USA,40.97846583,-85.19514639,114,Indiana,2011,,,,
Pasco,WA,USA,46.26468028,-119.1190292,168,Washington,2010,,,,
Manhattan,KS,USA,39.14096722,-96.67083278,168,Kansas,2010,,,,
Alexandria,LA,USA,31.32737167,-92.54855611,168,Louisiana,2010,,,,
North Bend,OR,USA,43.41713889,-124.2460278,168,Oregon,2010,,,,
Santa Fe,NM,USA,35.61677778,-106.0881389,168,New Mexico,2010,,,,
Klamath Falls,OR,USA,42.15614361,-121.7332081,168,Oregon,2010,,,,
Newburgh,NY,USA,41.50409361,-74.10483833,159,New York,2010,,,,
Charlottesville,VA,USA,38.13863889,-78.45286111,158,Virginia,2010,,,,
Valdosta,GA,USA,30.7825,-83.27672222,158,Georgia,2010,,,,
Mosinee,WI,USA,44.77761917,-89.66677944,156,Wisconsin,2010,,,,
Inyokern,CA,USA,35.65884306,-117.8295122,146, California,2010,,,,
Arcata/Eureka,CA,USA,40.97811528,-124.1086189,144, California,2010,,,,
Brunswick,GA,USA,31.25902778,-81.46630556,140,Georgia,2010,,,,
Lincoln,NE,USA,40.85097222,-96.75925,127,Nebraska,2010,,,,
